anyo;trimestre;barrio;num_viviendas;metros_2;dormitorios;banyos;renta_min;renta_media;renta_max;euros_m2;desv_tipica
2014;2;Colonia Requena;6;79;3;1,5;225;251;280;3,5;22
2014;2;Divina Pastora;3;238;3,7;2,7;550;647;700;3;68
2014;2;El Palmeral;3;100;3;1,7;475;552;700;5,5;105
2014;2;Ensanche - Diputación;126;96;2,7;1,6;280;541;850;6;125
2014;2;Florida Alta;28;77;2,3;1,1;250;374;520;5,4;59
2014;2;Florida Baja;21;93;2,7;1,4;225;405;550;4,5;84
2014;2;Garbinet;3;72;2,3;1;290;367;420;5;56
2014;2;Gran Vía - Parque Avenidas;32;105;3;2,1;462;585;750;5,7;71
2014;2;Juan XXIII 1er sector;6;77;3;1,2;300;329;380;4,3;31
2014;2;Juan XXIII 2do Sector;5;97;3,4;2;150;340;500;3,6;116
2014;2;La Albufereta;55;79;2,1;1,3;270;507;850;6,9;141
2014;2;Los Ángeles;32;93;2,9;1,6;290;384;495;4,2;52
2014;2;Mercado;40;93;2,9;1,5;330;489;750;5,5;118
2014;2;PAU I;28;100;2,6;1,8;475;596;700;6,1;66
2014;2;PAU II;19;105;3;1,8;450;553;650;5,4;68
2014;2;Pla del Bon Repós;46;74;2,5;1,1;250;345;450;4,9;45
2014;2;Playa de San Juan;146;107;2,5;1,8;300;662;1200;6,9;223
2014;2;Polígono de Babel;39;101;3,1;1,9;300;508;700;5;91
2014;2;Polígono de San Blas;34;93;2,8;1,8;350;499;600;5,5;69
2014;2;Princesa Mercedes - San Fernando;10;84;3;1,3;280;336;400;4,2;39
2014;2;Raval Roig;19;81;2,1;1,3;350;506;800;6,6;151
2014;2;San Agustín;5;91;2,8;1,4;335;389;500;4,4;65
2014;2;San Antón;14;68;1,7;1,1;250;403;670;6,4;117
2014;2;San Blas;61;85;2,5;1,4;300;422;550;5,2;61
2014;2;San Gabriel;22;104;3,5;2;400;550;700;5,3;104
2014;2;Sidi Ifni - Nou Alacant;7;80;2,7;1,1;300;336;400;4,3;36
2014;2;Tómbola;3;98;2,7;1,7;400;467;500;4,9;47
2014;2;Urbanova;9;95;2,8;1,8;400;506;850;5,5;162
2014;2;Villafranqueza;7;79;2,1;1,4;300;399;500;5,3;69
2014;2;Virgen del Remedio;4;106;3;1,5;260;309;375;3,2;42
2014;2;Vistahermosa;6;115;2,7;1,8;450;767;900;6,8;155
2014;3;Alipark;12;97;2,9;1,3;300;425;550;4,4;67
2014;3;Altozano;35;94;2,9;1,4;250;411;600;4,4;84
2014;3;Bacarot;2;83;2,5;1,8;400;440;480;5,3;40
2014;3;Benalúa;69;90;2,7;1,5;275;456;700;5;100
2014;3;Benisaudet;4;101;3,5;2;425;554;650;5,5;82
2014;3;Cabo de las Huertas;91;101;2,5;1,6;350;624;1300;6,2;201
2014;3;Campoamor;72;93;2,7;1,5;250;418;600;4,5;83
2014;3;Carolinas Altas;70;76;2,5;1,2;250;372;550;4,9;64
2014;3;Carolinas Bajas;71;79;2,4;1,3;230;388;600;4,9;74
2014;3;Casco Antiguo - Sta. Cruz;35;73;1,8;1,2;300;487;850;6,7;148
2014;3;Centro Histórico - Tradicional;69;91;2,5;1,5;295;538;1000;5,9;149
2014;3;Ciudad de Asís;17;83;2,5;1,3;270;366;450;4,4;48
2014;3;Ciudad Jardín;2;209;4;2,5;550;600;650;2,9;50
2014;3;El Palmeral;12;86;2,4;1,6;300;520;750;6;108
2014;3;Ensanche - Diputación;167;100;2,8;1,6;270;559;1000;5,6;150
2014;3;Florida Alta;22;93;3;1,4;250;389;500;4,2;66
2014;3;Florida Baja;38;89;2,7;1,5;270;434;550;4,9;61
2014;3;Gran Vía - Parque Avenidas;40;101;2,9;1,8;420;591;750;5,9;91
2014;3;Juan XXIII 1er sector;9;87;2,9;1,5;300;384;475;4,4;58
2014;3;La Albufereta;96;81;2,1;1,5;250;507;850;6,2;134
2014;3;Las Cuatrocientas Viviendas;2;69;2;1,5;330;415;500;6;85
